codgeo,libgeo,revenu_median
01248,Mionnay,29130.0
01249,Miribel,26720.0
01250,Misérieux,27460.0
01252,Mogneneins,26260.0
01254,Montagnat,27200.0
01255,Montagnieu,22080.0
01257,Montanges,30110.0
01258,Montceaux,27440.0
01259,Montcet,24810.0
01260,Le Montellier,28850.0
01261,Monthieux,28010.0
01262,Montluel,23590.0
01263,Montmerle-sur-Saône,25970.0
01264,Montracol,25180.0
01265,Montréal-la-Cluse,21010.0
01266,Montrevel-en-Bresse,22720.0
01267,Nurieux-Volognat,25120.0
01268,Murs-et-Gélignieux,24830.0
01269,Nantua,18370.0
01272,Neuville-les-Dames,23200.0
01273,Neuville-sur-Ain,23060.0
01274,Les Neyrolles,20810.0
01275,Neyron,30240.0
01276,Niévroz,28000.0
01277,Nivollet-Montgriffon,23550.0
01279,Oncieu,
01280,Ordonnaz,23420.0
01281,Ornex,37070.0
01282,Outriaz,25470.0
01283,Oyonnax,18340.0
01284,Ozan,23270.0
01285,Parcieux,29480.0
01286,Parves et Nattages,26600.0
01288,Péron,39700.0
01289,Péronnas,24100.0
01290,Pérouges,26770.0
01291,Perrex,24000.0
01293,Peyriat,24740.0
01294,Peyrieu,23600.0
01295,Peyzieux-sur-Saône,24570.0
01296,Pirajoux,22920.0
01297,Pizay,27060.0
01298,Plagne,29270.0
01299,Le Plantay,25540.0
01301,Polliat,25060.0
01302,Pollieu,24270.0
01303,Poncin,22280.0
01304,Pont-d'Ain,22810.0
01305,Pont-de-Vaux,21070.0
01306,Pont-de-Veyle,21330.0
01307,Port,22270.0
01308,Pougny,41270.0
01309,Pouillat,
01310,Prémeyzel,24070.0
01311,Prémillieu,
01313,Prévessin-Moëns,44430.0
01314,Priay,25110.0
01317,Ramasse,24270.0
01318,Rancé,29400.0
01319,Relevant,25090.0
01320,Replonges,24890.0
01321,Revonnas,27570.0
01322,Reyrieux,29130.0
01323,Reyssouze,23300.0
01325,Rignieux-le-Franc,26270.0
01328,Romans,25220.0
01329,Rossillon,20680.0
01330,Ruffieu,21390.0
01331,Saint-Alban,24030.0
01332,Saint-Aré-de-Bâgé,25800.0
01333,Saint-Aré-de-Corcy,26550.0
01334,Saint-Aré-d'Huiriat,24370.0
01335,Saint-Aré-le-Bouchoux,25930.0
01336,Saint-Aré-sur-Vieux-Jonc,24070.0
01337,Saint-Bénigne,23070.0
01338,Groslée-Saint-Benoit,23430.0
01339,Saint-Bernard,32220.0
01342,Sainte-Croix,30350.0
01343,Saint-Cyr-sur-Menthon,24170.0
01344,Saint-Denis-lès-Bourg,25580.0
01345,Saint-Denis-en-Bugey,23670.0
01346,Saint-Didier-d'Aussiat,24190.0
01347,Saint-Didier-de-Formans,28190.0
01348,Saint-Didier-sur-Chalaronne,23560.0
01349,Saint-Éloi,26490.0
01350,Saint-Étienne-du-Bois,24380.0
01351,Saint-Étienne-sur-Chalaronne,23960.0
01352,Saint-Étienne-sur-Reyssouze,23260.0
01353,Sainte-Euphémie,27990.0
01354,Saint-Genis-Pouilly,30790.0
01355,Saint-Genis-sur-Menthon,24660.0
01356,Saint-Georges-sur-Renon,25660.0
01357,Saint-Germain-de-Joux,21610.0
01358,Saint-Germain-les-Paroisses,23210.0
01359,Saint-Germain-sur-Renon,25790.0
01360,Saint-Jean-de-Gonville,42220.0
01361,Saint-Jean-de-Niost,28140.0
01362,Saint-Jean-de-Thurigneux,28910.0
01363,Saint-Jean-le-Vieux,24660.0
01364,Saint-Jean-sur-Reyssouze,22170.0
01365,Saint-Jean-sur-Veyle,24530.0
01366,Sainte-Julie,24930.0
01367,Saint-Julien-sur-Reyssouze,22270.0
01368,Saint-Julien-sur-Veyle,23300.0
01369,Saint-Just,27390.0
01370,Saint-Laurent-sur-Saône,19550.0
01371,Saint-Marcel,25130.0
01372,Saint-Martin-de-Bavel,25590.0
01373,Saint-Martin-du-Frêne,25030.0
01374,Saint-Martin-du-Mont,25490.0
01375,Saint-Martin-le-Châtel,25350.0
01376,Saint-Maurice-de-Beynost,23570.0
01378,Saint-Maurice-de-Gourdans,28170.0
01379,Saint-Maurice-de-Rémens,24110.0
01380,Saint-Nizier-le-Bouchoux,22400.0
01381,Saint-Nizier-le-Désert,24340.0
01382,Sainte-Olive,25280.0
01383,Saint-Paul-de-Varax,23200.0
01384,Saint-Rambert-en-Bugey,20170.0
01385,Saint-Rémy,27430.0
01386,Saint-Sorlin-en-Bugey,26690.0
01387,Saint-Sulpice,23240.0
01388,Saint-Trivier-de-Courtes,21030.0
01389,Saint-Trivier-sur-Moignans,23920.0
01390,Saint-Vulbas,24750.0
01391,Salavre,22940.0
01392,Samognat,27660.0
01393,Sarans,25970.0
01396,Sault-Brénaz,21130.0
01397,Sauverny,41070.0
01398,Savigneux,26370.0
01399,Ségny,42330.0
01400,Seillonnaz,22970.0
01401,Sergy,42940.0
01402,Sermoyer,22230.0
01403,Serrières-de-Briord,22690.0
01404,Serrières-sur-Ain,23640.0
01405,Servas,22670.0
01406,Servignat,23480.0
01407,Seyssel,23780.0
01408,Simare-sur-Suran,23210.0
01410,Sonthonnax-la-Montagne,27530.0
01411,Souclin,24340.0
01412,Sulignat,24630.0
01415,Talissieu,23340.0
01416,Tenay,20410.0
01418,Thil,30620.0
01419,Thoiry,38950.0
01420,Thoissey,20430.0
01421,Torcieu,22620.0
01422,Tossiat,26180.0
01423,Toussieux,27870.0
01424,Tramoyes,31610.0
01425,La Tranclière,25050.0
01426,Val-Revermont,24280.0
01427,Trévoux,23920.0
01428,Valeins,23780.0
01429,Vaeins,24170.0
01430,Varambon,23800.0
01431,Vaux-en-Bugey,25240.0
01432,Verjon,23640.0
01433,Vernoux,20450.0
01434,Versailleux,25730.0
01435,Versonnex,38970.0
01436,Vesancy,45200.0
01437,Vescours,23090.0
01439,Vésines,
01441,Vieu-d'Izenave,23450.0
01443,Villars-les-Dombes,24480.0
01444,Villebois,22700.0
01445,Villemotier,23580.0
01446,Villeneuve,26440.0
01447,Villereversure,23600.0
01448,Villes,30500.0
01449,Villette-sur-Ain,26020.0
01450,Villieu-Loyes-Mollon,26810.0
01451,Viriat,25470.0
01452,Virieu-le-Gra,20600.0
01453,Arvière-en-Valromey,22830.0
01454,Virignin,24130.0
01456,Vongnes,
