dep,codgeo,libgeo,population,revenu_median,categorie_revenu,pression_socioeco
26,26345,Suze-la-Rousse,2096.0,24490.0,Moyen,0.23179792737286872
76,76210,Dampierre-Saint-Nicolas,450.0,21840.0,Faible,0.054040632386857065
01,01408,Simandre-sur-Suran,656.0,23210.0,Moyen,0.07555751510413627
40,40054,Brassempouy,267.0,24090.0,Moyen,0.0299105490200888
16,16031,Barro,411.0,24590.0,Moyen,0.04530540777865315
95,95301,Haute-Isle,290.0,26340.0,Élevé,0.030148041019798864
51,51264,Le Gault-Soigny,503.0,22490.0,Faible,0.05923337255561207
25,25627,Villers-sous-Chalamont,296.0,22710.0,Faible,0.03462357327335397
74,74190,Morillon,669.0,25070.0,Élevé,0.07259415266548983
60,60317,Hondainville,727.0,25590.0,Élevé,0.07753262404119676
58,58055,Champvert,743.0,22490.0,Faible,0.08749581671733553
38,38174,La Frette,1092.0,23580.0,Moyen,0.12432722316354135
28,28039,Béville-le-Comte,1682.0,24510.0,Moyen,0.18589282092807977
11,11178,Labastide-d'Anjou,1271.0,22110.0,Faible,0.15140457328474932
60,60121,Campagne,159.0,22640.0,Faible,0.018638372137246163
68,68007,Andolsheim,2195.0,28900.0,Élevé,0.20804585957394087
02,02063,Bellenglise,380.0,22500.0,Faible,0.04473524774010392
72,72334,Sillé-le-Guillaume,2195.0,20110.0,Très faible,0.2772108786985604
14,14403,Marolles,744.0,22970.0,Moyen,0.08633337851739616
78,78402,Mézières-sur-Seine,3826.0,27410.0,Élevé,0.3830707598124959
39,39141,Chevigny,281.0,23760.0,Moyen,0.03181130951829664
62,62112,Berles-au-Bois,523.0,22920.0,Moyen,0.06078239395930592
67,67558,Zinswiller,725.0,24190.0,Moyen,0.08095788601437366
16,16095,Chenon,127.0,24340.0,Moyen,0.014113298156355304
31,31540,Ségreville,334.0,26410.0,Élevé,0.03463841428284529
57,57287,Basse-Ham,2237.0,28640.0,Élevé,0.21411167410540366
80,80442,Hombleux,1139.0,21190.0,Très faible,0.13943684058751055
41,41121,La Madeleine-Villefrouin,32.0,,,
80,80236,Davenescourt,557.0,21470.0,Faible,0.06762908218581537
23,23202,Saint-Hilaire-le-Château,226.0,20470.0,Très faible,0.02825032758875711
55,55556,Ville-devant-Chaumont,49.0,,,
62,62573,Meurchin,3717.0,21890.0,Faible,0.44570939124153564
38,38406,Saint-Julien-de-l'Herms,160.0,23150.0,Moyen,0.018463076155573372
74,74238,Saint-Jean-d'Aulps,1596.0,23480.0,Moyen,0.18228115014003612
60,60648,Troussencourt,319.0,22340.0,Faible,0.0377370306558172
87,87105,Neuvic-Entier,890.0,20740.0,Très faible,0.11038986625014104
86,86217,Saint-Christophe,277.0,21710.0,Faible,0.033394099595760576
21,21055,Beaunotte,14.0,,,
09,09292,Sentenac-de-Sérou,53.0,,,
59,59627,Villers-Sire-Nicole,1006.0,22460.0,Faible,0.11857493391954489
88,88224,Hadigny-les-Verrières,380.0,24130.0,Moyen,0.042514831972248576
52,52128,Cirey-lès-Mareilles,149.0,21890.0,Faible,0.01786674718724477
30,30341,Vauvert,11774.0,19990.0,Très faible,1.4920265500698455
57,57471,Momerstroff,297.0,25050.0,Élevé,0.032249190993988486
